Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2021-07-10,Rubicon,5.10b/c,,https://www.mountainproject.com/route/106573480/rubicon,1,"New Hampshire > *Rumney > The Parking Lot Wall",2.0,-1,Lead,,Sport,,40,3100
2021-06-30,"Architect Rally",5.11a,,https://www.mountainproject.com/route/106221614/architect-rally,1,"Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 38 > Deception Crags > Nevermind Wall",2.9,-1,Lead,,Sport,,70,4600
2021-06-30,"Big Mama",5.10c/d,,https://www.mountainproject.com/route/106221622/big-mama,1,"Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 38 > Deception Crags > Nevermind Wall",2.9,-1,Lead,,Sport,,70,3400
2021-06-30,Cultureshock,5.12a,,https://www.mountainproject.com/route/105793317/cultureshock,1,"Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 38 > Deception Crags > Nevermind Wall",3.4,-1,Lead,Fell/Hung,Sport,,50,6600
2021-06-27,"East Face / Rebel Yell",5.10,,https://www.mountainproject.com/route/106256230/east-face-rebel-yell,6,"Washington > Northwest Region > Hwy 20 and North Cascades National Park > North Cascades > Washington Pass > Silver Star and Wine spires > Chianti Spire",3.8,-1,Lead,,"Trad, Alpine",,800,3000
2021-06-26,"The West Face",5.11-,,https://www.mountainproject.com/route/105847147/the-west-face,2,"Washington > Northwest Region > Hwy 20 and North Cascades National Park > North Cascades > Washington Pass > Liberty Bell Group > North Early Winter Spire",3.7,-1,,,"Trad, Alpine",,500,4700
2021-06-26,"Northwest Corner (a.k.a. Boving-Pollack Route)",5.9,,https://www.mountainproject.com/route/105792199/northwest-corner-aka-boving-pollack-route,4,"Washington > Northwest Region > Hwy 20 and North Cascades National Park > North Cascades > Washington Pass > Liberty Bell Group > North Early Winter Spire",3.5,-1,Lead,,"Trad, Alpine",,,2400
2021-06-24,"Lovin' Arms","5.10b/c A0",,https://www.mountainproject.com/route/106194690/lovin-arms,2,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Upper Town Wall > Central Wall Area",3.6,-1,Lead,,"Trad, Aid",,,3100
2021-06-24,"Davis-Holland Route",5.10c,,https://www.mountainproject.com/route/105836583/davis-holland-route,3,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Upper Town Wall > Central Wall Area",3.9,-1,Lead,,Trad,,400,3200
2021-06-23,"Golden Road",5.11c,,https://www.mountainproject.com/route/106255312/golden-road,5,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Upper Town Wall > Dana's Arch Area",3.5,-1,Lead,,Sport,,380,5200
2021-06-23,"Frank Presley",5.11a,"One fall!",https://www.mountainproject.com/route/105808027/frank-presley,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > The Country Area > The Country",2.7,-1,Lead,Fell/Hung,Sport,,90,4600
2021-06-23,"Thin Fingers",5.11a,"Had to pull through that slab crux but damnnnn the rest of this thing was sick",https://www.mountainproject.com/route/105805741/thin-fingers,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > (D) Narrow Arrow and further right",3.8,-1,Lead,,Trad,,120,4600
2021-06-23,Tatoosh,5.10b,,https://www.mountainproject.com/route/106171292/tatoosh,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > (D) Narrow Arrow and further right",3.4,-1,Lead,Onsight,Trad,,110,2900
2021-06-19,"Dihedral of Horrors",5.9,,https://www.mountainproject.com/route/105813333/dihedral-of-horrors,5,"Wyoming > Grand Teton National Park > Death Canyon > Omega  Buttress",3.4,2,Lead,Onsight,"Trad, Alpine",,400,2400
2021-06-18,"Rule the World",5.11b/c,,https://www.mountainproject.com/route/106278279/rule-the-world,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > TannerS Gulch > Diff'rent Strokes Buttress",2.7,-1,TR,,Sport,,120,5100
2021-06-16,"Ornery Miss Garrett",5.9+,,https://www.mountainproject.com/route/106276790/ornery-miss-garrett,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > TannerS Gulch > Diff'rent Strokes Buttress",2.3,-1,Lead,Onsight,Trad,,117,2500
2021-06-13,"East Coast Insecurities",5.10,"not sure where I would have placed any cams. bolts are totally sufficient",https://www.mountainproject.com/route/118975677/east-coast-insecurities,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > TannerS Gulch > Hidden Heavenly Slab",2.4,-1,Lead,Onsight,Trad,,60,3000
2021-06-13,"Indie Dog Memorial Route",5.10a,"combined p1 and p2. really good! ",https://www.mountainproject.com/route/106276958/indie-dog-memorial-route,2,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > TannerS Gulch > Hidden Heavenly Slab",2.1,-1,Lead,Onsight,Trad,,280,2600
2021-06-13,"Mad Swiller",5.10b,,https://www.mountainproject.com/route/105984614/mad-swiller,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Maybird Slide Area > Purple Wall",2.2,-1,Lead,Onsight,Sport,,35,2900
2021-06-13,"Bubbles & Booze",5.11a,,https://www.mountainproject.com/route/105984622/bubbles-booze,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Maybird Slide Area > Purple Wall",2.4,-1,Lead,Onsight,Sport,,35,4600
2021-06-13,"Squeeze It Until It's Purple",5.10c,"wrong sequence! ",https://www.mountainproject.com/route/105984618/squeeze-it-until-its-purple,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Maybird Slide Area > Purple Wall",2.3,-1,Lead,Fell/Hung,Sport,,35,3200
2021-06-13,"Pump It Until Purple",5.9,,https://www.mountainproject.com/route/105984597/pump-it-until-purple,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Maybird Slide Area > Purple Wall",2.1,-1,Lead,Onsight,Sport,,30,2400
2021-06-12,"The Pearly Gates",5.10c,"ehk. didn't like it haha",https://www.mountainproject.com/route/112188183/the-pearly-gates,2,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Hellgate Cliffs > Main Hellgate",2.7,-1,Lead,Onsight,Sport,,265,3200
2021-06-10,Unknown,5.10d,"haha on purpose this time. didn't love it. fine",https://www.mountainproject.com/route/107767790/unknown,1,"Utah > Wasatch Range > Central Wasatch > Big Cottonwood Canyon > S-Curves > S-Curve - Lower",1.8,-1,Lead,Fell/Hung,Sport,,35,3500
2021-06-10,"Bourbon Street",5.10d,,https://www.mountainproject.com/route/105740339/bourbon-street,1,"Utah > Wasatch Range > Central Wasatch > Big Cottonwood Canyon > S-Curves > S-Curve - Lower",2.7,-1,Lead,Onsight,Sport,,60,3500
2021-06-10,"Chorus Line",5.9,,https://www.mountainproject.com/route/105740330/chorus-line,1,"Utah > Wasatch Range > Central Wasatch > Big Cottonwood Canyon > S-Curves > S-Curve - Lower",1.9,-1,Lead,Flash,Sport,,80,2400
2021-06-08,"Whiskey Weekend Jugs of Joy",5.11a,,https://www.mountainproject.com/route/106282848/whiskey-weekend-jugs-of-joy,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Hellgate Cliffs > East Hellgate > Melting Mud West",2.4,-1,Lead,Onsight,"Sport, Alpine",,45,4600
2021-06-08,"Whiskey  Wednesday",5.9,,https://www.mountainproject.com/route/106262929/whiskey-wednesday,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Hellgate Cliffs > East Hellgate > Melting Mud West",1.8,-1,Lead,Flash,"Sport, Alpine",,75,2400
2021-06-08,"Devil's Advocate",5.9+,,https://www.mountainproject.com/route/105958675/devils-advocate,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Hellgate Cliffs > East Hellgate > Melting Mud West",2.7,-1,Lead,Onsight,"Sport, Alpine",,75,2500
2021-05-27,Squawstruck,5.11a/b,"swapped with Austin - so good. so tired.",https://www.mountainproject.com/route/106897735/squawstruck,22,"Utah > Wasatch Range > Southern Wasatch > Rock Canyon > Squaw Peak",3.4,-1,Lead,,Sport,,1900,4800
2021-05-26,"Martinez Mind Melter",5.10+,,https://www.mountainproject.com/route/106228473/martinez-mind-melter,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Hellgate Cliffs > East Hellgate > The Melting Mud Wall",3.0,-1,Lead,Onsight,Sport,,90,3300
2021-05-26,"Cotton Mouth King",5.11a,,https://www.mountainproject.com/route/110551939/cotton-mouth-king,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Hellgate Cliffs > East Hellgate > The Melting Mud Wall",2.6,-1,Lead,Onsight,Sport,,90,4600
2021-05-26,Antidote,5.10a,,https://www.mountainproject.com/route/106020326/antidote,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Hellgate Cliffs > East Hellgate > The Melting Mud Wall",2.8,-1,Lead,Flash,Sport,,80,2600
2021-05-26,"Wisky Bench",5.9,,https://www.mountainproject.com/route/107688903/wisky-bench,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Hellgate Cliffs > East Hellgate > The Melting Mud Wall",2.3,-1,Lead,Flash,Sport,,110,2400
2021-05-25,"Arm and Hammer",5.10b,,https://www.mountainproject.com/route/105741977/arm-and-hammer,5,"Utah > Wasatch Range > Central Wasatch > Bell's Canyon > Middle Bell Tower",3.9,-1,Lead,,Trad,,600,2900
2021-05-22,"Worthy Whoopsie",5.11a,,https://www.mountainproject.com/route/105999544/worthy-whoopsie,2,"Utah > Wasatch Range > Central Wasatch > Big Cottonwood Canyon > Challenge Buttress > East Face",2.6,-1,Lead,Onsight,Sport,,185,4600
2021-05-16,"Squeeze Play",5.10a,"wow! that was sooooo good",https://www.mountainproject.com/route/105792795/squeeze-play,1,"Utah > Southwest Utah > Zion National Park > Cerberus Gendarme",3.5,-1,Lead,Onsight,Trad,,80,2600
2021-05-16,"Cave Route",5.7+,,https://www.mountainproject.com/route/105788835/cave-route,1,"Utah > Southwest Utah > Zion National Park > Cerberus Gendarme",2.6,-1,Lead,Onsight,Trad,,50,1900
2021-05-16,Organasm,"5.8 C1","just 1 pitch. didn't have time to teach Amy how to re aid a roof so we bailed ☺",https://www.mountainproject.com/route/105717721/organasm,1,"Utah > Southwest Utah > Zion National Park > The Organ",3.1,-1,Lead,,Aid,,400,2100
2021-05-12,"Right Toilet Bowl Crack",5.10a,,https://www.mountainproject.com/route/108617444/right-toilet-bowl-crack,5,"Utah > Southwest Utah > Zion National Park > Temple of Sinawava",3.1,-1,Lead,Onsight,Trad,,,2600
2021-05-11,"The Dark Tower",5.10,"just first two pitches",https://www.mountainproject.com/route/112259438/the-dark-tower,2,"Utah > Southwest Utah > Zion National Park > Mount Carmel Tunnel > Kung Fu Theater",3.4,-1,Lead,Onsight,Trad,,400,3000
2021-05-10,"The Headache",5.10,,https://www.mountainproject.com/route/105718186/the-headache,3,"Utah > Southwest Utah > Zion National Park > Mount Carmel Tunnel > Headache Area",3.9,-1,Lead,Onsight,Trad,,380,3000
2021-05-07,"Mexican Crack",5.10a,,https://www.mountainproject.com/route/105740603/mexican-crack,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Crescent Crack Buttress",3.7,-1,Lead,Onsight,Trad,,90,2600
2021-05-07,"Crack in the Woods",5.8,,https://www.mountainproject.com/route/105740024/crack-in-the-woods,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Crescent Crack Buttress",2.3,-1,Lead,Onsight,Trad,,50,2100
2021-05-05,"Stifflers Stiffy",5.11b/c,,https://www.mountainproject.com/route/105831434/stifflers-stiffy,1,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Coal Pit Buttress",3.3,-1,Follow,,Trad,,60,5100
2021-05-05,"Stiffler's Mom",5.11a,,https://www.mountainproject.com/route/105741476/stifflers-mom,6,"Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Coal Pit Buttress",3.3,-1,Lead,,Trad,,1300,4600
2021-05-02,"Captain Tight Pants",5.11c,,https://www.mountainproject.com/route/108326348/captain-tight-pants,1,"Utah > Wasatch Range > Southern Wasatch > American Fork Canyon > Serenity > Eavesdown Docks",2.3,-1,TR,,Sport,,60,5200
2021-05-01,Firefly,5.10c,,https://www.mountainproject.com/route/108326384/firefly,1,"Utah > Wasatch Range > Southern Wasatch > American Fork Canyon > Serenity > Eavesdown Docks",3.4,-1,Lead,Onsight,Sport,,110,3200
2021-05-01,"Out of Gas",5.9,,https://www.mountainproject.com/route/108326353/out-of-gas,1,"Utah > Wasatch Range > Southern Wasatch > American Fork Canyon > Serenity > Eavesdown Docks",3.1,-1,Lead,Onsight,Sport,,60,2400
2021-04-30,"Itchy Scratchy",5.7,"Brent&#39;s first multipitch!",https://www.mountainproject.com/route/111986937/itchy-scratchy,5,"Utah > Wasatch Range > Central Wasatch > Big Cottonwood Canyon > Strone Crag",2.5,-1,Lead,Onsight,Trad,,410,1800
2021-04-29,"Extreme Unction",5.10a,"hung! dang! shoulda just gone for it",https://www.mountainproject.com/route/105739907/extreme-unction,1,"Utah > Wasatch Range > Central Wasatch > Ferguson Canyon > The Watchtower > Watchtower Main",3.4,-1,Lead,Fell/Hung,"Trad, TR",,50,2600
2021-04-29,"Hellfire Variation",5.9,,https://www.mountainproject.com/route/105740018/hellfire-variation,1,"Utah > Wasatch Range > Central Wasatch > Ferguson Canyon > The Watchtower > Watchtower Main",2.4,-1,Lead,Onsight,Trad,,40,2400
2021-04-13,"Coyne Crack",5.11d,,https://www.mountainproject.com/route/105717343/coyne-crack,1,"Utah > Southeast Utah > Indian Creek > Supercrack Buttress",3.7,-1,TR,,Trad,,,5500
2021-04-13,"Supercrack of the Desert",5.10,"got pumpeeeddddd! took ",https://www.mountainproject.com/route/105717364/supercrack-of-the-desert,1,"Utah > Southeast Utah > Indian Creek > Supercrack Buttress",3.8,-1,Lead,Fell/Hung,Trad,,,3000
2021-04-13,Pringles,5.11+,,https://www.mountainproject.com/route/105717427/pringles,1,"Utah > Southeast Utah > Indian Creek > Supercrack Buttress",2.8,-1,TR,,Trad,,,5300
2021-04-13,Gorilla,5.10,,https://www.mountainproject.com/route/105717424/gorilla,1,"Utah > Southeast Utah > Indian Creek > Supercrack Buttress",3.1,-1,Lead,Onsight,Trad,,,3000
2021-04-13,"The Wave",5.10+,,https://www.mountainproject.com/route/105717529/the-wave,1,"Utah > Southeast Utah > Indian Creek > Supercrack Buttress",3.6,-1,TR,,Trad,,120,3300
2020-10-20,"Coral Bells Arete",5.9,,https://www.mountainproject.com/route/105740231/coral-bells-arete,1,"Utah > Wasatch Range > Central Wasatch > Big Cottonwood Canyon > Challenge Buttress > East Face",2.5,-1,Lead,Onsight,Trad,,70,2400
2020-10-20,MEGA,5.9,,https://www.mountainproject.com/route/106008134/mega,1,"Utah > Wasatch Range > Central Wasatch > Big Cottonwood Canyon > Challenge Buttress > East Face",2.2,-1,Lead,Onsight,Sport,,110,2400
2020-10-18,Starstruck,5.8,,https://www.mountainproject.com/route/106270196/starstruck,3,"Utah > Wasatch Range > Central Wasatch > Big Cottonwood Canyon > Strone Crag",2.8,-1,Lead,Onsight,Trad,,220,2100
2020-10-10,"Outer Space",5.9,,https://www.mountainproject.com/route/105793664/outer-space,6,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > Snow Creek Area > Snow Creek Wall",3.8,-1,Lead,Onsight,Trad,,700,2400
2020-10-06,"Journey to the other side of the bridge",5.8,,https://www.mountainproject.com/route/106812714/journey-to-the-other-side-of-the-bridge,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Inner Walls > Toxic - Tang Area",2.1,-1,Follow,,Trad,,45,2100
2020-10-06,"Even Steven",5.11b,"well that was unexpected! ",https://www.mountainproject.com/route/105791090/even-steven,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Inner Walls > Toxic - Tang Area",3.6,-1,Lead,Onsight,Trad,,,4900
2020-10-06,"Toxic Shock",5.9,,https://www.mountainproject.com/route/105791086/toxic-shock,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Inner Walls > Toxic - Tang Area",3.7,-1,Lead,Onsight,Trad,,,2400
2020-10-06,"Doug Thompson's Unicorn",5.8,,https://www.mountainproject.com/route/114558660/doug-thompsons-unicorn,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Inner Walls > Missing Bottle Buttress",2.9,-1,Lead,Onsight,Sport,,50,2100
2020-10-05,Godzilla,5.9,,https://www.mountainproject.com/route/105790717/godzilla,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > (C) Main Wall, left side",3.7,-1,Lead,Onsight,Trad,,,2400
2020-10-04,"Great Northern Slab",5.7,"amy led p3 yay",https://www.mountainproject.com/route/105790657/great-northern-slab,3,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > (A) Great Northern Slab",2.9,-1,Lead,Onsight,Trad,,,1800
2020-09-27,"Hanging Chad",5.7+,,https://www.mountainproject.com/route/109610231/hanging-chad,1,"Oregon > Mt. Hood National Forest > Klinger Spring > (1) North End",2.1,-1,Lead,Onsight,Sport,,35,1900
2020-09-27,"Signs Preceding the End of the World",5.10,,https://www.mountainproject.com/route/112149085/signs-preceding-the-end-of-the-world,1,"Oregon > Mt. Hood National Forest > Klinger Spring > (2) Land of Shadows",2.6,-1,Lead,Onsight,Sport,,70,3000
2020-09-27,Cerberus,5.9,,https://www.mountainproject.com/route/109610277/cerberus,1,"Oregon > Mt. Hood National Forest > Klinger Spring > (2) Land of Shadows",2.4,-1,Lead,Onsight,Sport,,95,2400
2020-09-20,"Risky Sex",5.10d,,https://www.mountainproject.com/route/109612233/risky-sex,1,"Washington > South-West & Tacoma > Columbia Gorge > OH8",3.0,-1,Lead,Onsight,Trad,,50,3500
2020-09-14,"Norma's Book",5.6,,https://www.mountainproject.com/route/105740948/normas-book,1,"Idaho > South Idaho > City of Rocks > Parking Lot Rock > Parking Lot Rock - West",2.7,-1,Lead,Onsight,Trad,,180,1600
2020-09-13,"Tow Away Zone",5.10a/b,,https://www.mountainproject.com/route/105741062/tow-away-zone,1,"Idaho > South Idaho > City of Rocks > Parking Lot Rock > Parking Lot Rock - East",2.7,-1,Lead,Onsight,Trad,,80,2800
2020-09-13,"True Spirit",5.7,,https://www.mountainproject.com/route/113733719/true-spirit,1,"Idaho > South Idaho > City of Rocks > Drilling Fields > Drilling Fields - Lost World",2.2,-1,Follow,,Sport,,110,1800
2020-09-13,"Last of the Lost",5.9,,https://www.mountainproject.com/route/113733727/last-of-the-lost,1,"Idaho > South Idaho > City of Rocks > Drilling Fields > Drilling Fields - Lost World",2.4,-1,Lead,Onsight,Sport,,115,2400
2020-09-12,"Columbian Crack",5.7,,https://www.mountainproject.com/route/105741563/columbian-crack,1,"Idaho > South Idaho > City of Rocks > Elephant Rock > Elephant Rock - East",3.1,-1,Lead,Flash,Trad,,150,1800
2020-09-06,"Minor Dihedral",5.9,,https://www.mountainproject.com/route/105827766/minor-dihedral,8,"Wyoming > Wind River Range > Deep Lake Area > Haystack Mountain",3.6,-1,Lead,Onsight,"Trad, Alpine",,1000,2400
2020-08-23,"Pine Tree Eliminate",5.8+,,https://www.mountainproject.com/route/105920872/pine-tree-eliminate,1,"New Hampshire > *Cathedral Ledge > Airation Buttress",3.4,-1,Lead,,Trad,,90,2200
2020-08-23,"Missing Link",5.10a,,https://www.mountainproject.com/route/105920214/missing-link,1,"New Hampshire > *Cathedral Ledge > Thin Air Face",3.1,-1,Lead,Onsight,Trad,,,2600
2020-08-23,"Turner's Flake",5.8,,https://www.mountainproject.com/route/105881452/turners-flake,1,"New Hampshire > *Cathedral Ledge > Thin Air Face",3.4,-1,Follow,,Trad,,120,2100
2020-08-22,Atlantis,5.10b,"led p1, p4. excellent climb with Brent",https://www.mountainproject.com/route/105981162/atlantis,4,"New Hampshire > *Whitehorse Ledge > 2. South Buttress > Inferno - Atlantis Area",3.6,-1,Lead,Onsight,Trad,,400,2900
2020-08-18,"Rock Du Jours Direct",5.9+,,https://www.mountainproject.com/route/106028627/rock-du-jours-direct,2,"New Hampshire > *Rumney > Main Cliff",3.0,-1,Lead,,Sport,,180,2500
2020-08-18,"Know Ethics",5.11a,,https://www.mountainproject.com/route/105877243/know-ethics,1,"New Hampshire > *Rumney > Main Cliff",3.1,-1,Lead,Redpoint,Sport,,,4600
2020-08-15,"Mechanics' Route",5.10b,,https://www.mountainproject.com/route/106598920/mechanics-route,3,"New Hampshire > WM: Pinkham / Presidentials > 05. Huntington Ravine",3.3,-1,Lead,,Trad,,220,2900
2020-08-15,"Cloud Walkers",5.8,,https://www.mountainproject.com/route/110784319/cloud-walkers,2,"New Hampshire > WM: Pinkham / Presidentials > 05. Huntington Ravine",3.0,-1,Lead,,Trad,,180,2100
2020-08-09,"Standard Route","5.5 R",,https://www.mountainproject.com/route/105910131/standard-route,9,"New Hampshire > *Whitehorse Ledge > 7. The Slabs",3.4,-1,Lead,,Trad,,1100,1500
2020-08-08,"Just Roof'n Around",5.11-,,https://www.mountainproject.com/route/109281303/just-roofn-around,1,"New Hampshire > WM: Franconia Notch > Echo Crag > 8. The Hone Wall ""Proper"" (base at path level)",3.2,-1,Lead,Fell/Hung,Sport,,90,4700
2020-08-08,"Just Roof'n Around",5.11-,,https://www.mountainproject.com/route/109281303/just-roofn-around,1,"New Hampshire > WM: Franconia Notch > Echo Crag > 8. The Hone Wall ""Proper"" (base at path level)",3.2,-1,Lead,Fell/Hung,Sport,,90,4700
2020-08-08,"Race Day",5.9+,,https://www.mountainproject.com/route/109283003/race-day,1,"New Hampshire > WM: Franconia Notch > Echo Crag > 8. The Hone Wall ""Proper"" (base at path level)",2.3,-1,Lead,Onsight,Sport,,90,2500
2020-08-08,Beeline,5.7,,https://www.mountainproject.com/route/106038235/beeline,1,"New Hampshire > WM: Franconia Notch > Echo Crag > 1. Square Inch Wall",2.2,-1,Lead,,Trad,,60,1800
2020-08-08,VH-1,5.7,,https://www.mountainproject.com/route/105947967/vh-1,1,"New Hampshire > WM: Franconia Notch > Echo Crag > 1. Square Inch Wall",2.9,-1,Lead,,Trad,,60,1800
2020-08-07,"Lightning Crack",5.7,,https://www.mountainproject.com/route/107263221/lightning-crack,1,"New Hampshire > *Cannon Cliff > 2. Duet Area etc",3.1,-1,Lead,Onsight,"Trad, Alpine",,150,1800
2020-08-07,"Raven Crack",5.9+,"kev led p1, p3 I led p2",https://www.mountainproject.com/route/106772331/raven-crack,3,"New Hampshire > *Cannon Cliff > 2. Duet Area etc",3.1,-1,Lead,Onsight,"Trad, Alpine",,300,2500
2020-08-06,"Armed and Dangerous, and Off My Medication",5.10b,,https://www.mountainproject.com/route/105935097/armed-and-dangerous-and-off-my-medication,1,"New Hampshire > *Rumney > Armed and Dangerous (Main Cliff Left)",3.5,4,TR,,Sport,,,2900
2020-08-06,"Armed and Dangerous, and Off My Medication",5.10b,,https://www.mountainproject.com/route/105935097/armed-and-dangerous-and-off-my-medication,1,"New Hampshire > *Rumney > Armed and Dangerous (Main Cliff Left)",3.5,4,Lead,,Sport,,,2900
2020-08-06,"Crowd Pleaser",5.7,,https://www.mountainproject.com/route/110508566/crowd-pleaser,2,"New Hampshire > *Rumney > Main Cliff Right",2.7,-1,Lead,Onsight,Sport,,,1800
2020-07-25,"The Beanstalk Crack",5.9+,,https://www.mountainproject.com/route/109258397/the-beanstalk-crack,1,"New Hampshire > WM: Kancamagus (Central) > Greens Cliff > The Northeastern Crags",3.7,-1,Lead,Onsight,Trad,,75,2500
2020-07-25,"Squeeze Box",5.8,,https://www.mountainproject.com/route/109440980/squeeze-box,1,"New Hampshire > WM: Kancamagus (Central) > Greens Cliff > The Northeastern Crags",2.5,-1,Lead,Pinkpoint,Trad,,115,2100
2020-07-25,"The Jolly Green Giant",5.9,,https://www.mountainproject.com/route/108320993/the-jolly-green-giant,1,"New Hampshire > WM: Kancamagus (Central) > Greens Cliff > The Northeastern Crags",3.5,-1,Lead,Onsight,Trad,,80,2400
2020-07-25,"Yeti Beats",5.11a,"1 fall, 1 take. ",https://www.mountainproject.com/route/111080266/yeti-beats,1,"New Hampshire > WM: Kancamagus (Central) > Greens Cliff > The Northeastern Crags",3.9,-1,Lead,Fell/Hung,Trad,,90,4600
2020-06-13,Tachycardia,5.7,"Amy P1, P2 Me P3",https://www.mountainproject.com/route/107669530/tachycardia,3,"Utah > Central Utah > Maple Canyon > Maple Canyon Road > Heart Rock Area > Heart Rock",3.6,-1,Lead,Onsight,Sport,,300,1800
2020-06-07,"Hells Bells",5.10b,,https://www.mountainproject.com/route/106892805/hells-bells,1,"Utah > Southwest Utah > Cedar City > Cedar Canyon > Graveside Matter Wall > Lower Tier",2.5,-1,Lead,Onsight,Sport,,40,2900
2020-06-07,Evil,5.11a/b,,https://www.mountainproject.com/route/108262374/evil,1,"Utah > Southwest Utah > Cedar City > Cedar Canyon > Graveside Matter Wall > Lower Tier",3.1,-1,Lead,Onsight,Sport,,50,4800
2020-06-02,"Choo Choo Express",5.10a,,https://www.mountainproject.com/route/118837740/choo-choo-express,3,"Utah > Southwest Utah > Saint George > Prophesy Wall",2.6,-1,Lead,,Trad,,190,2600
2020-06-01,"Past Lives",5.9,,https://www.mountainproject.com/route/106056709/past-lives,3,"Utah > Southwest Utah > Saint George > Prophesy Wall",2.9,-1,Lead,Onsight,Sport,,180,2400
